# i, x, y, real(u), imag(u)
0 1 0 -0.061697 0.0562587
1 0.999507 0.0314108 -0.0567703 0.0538115
2 0.998027 0.0627905 -0.0428279 0.0463829
3 0.995562 0.0941083 -0.0222808 0.0337935
4 0.992115 0.125333 0.00118352 0.0159942
5 0.987688 0.156434 0.0230758 -0.00662297
6 0.982287 0.187381 0.0387207 -0.0329042
7 0.975917 0.218143 0.0439609 -0.0606994
8 0.968583 0.24869 0.0358781 -0.0868007
9 0.960294 0.278991 0.0134418 -0.107125
10 0.951057 0.309017 -0.0220158 -0.117166
11 0.940881 0.338738 -0.0665985 -0.112707
12 0.929776 0.368125 -0.114008 -0.0906982
13 0.917755 0.397148 -0.15612 -0.0501894
14 0.904827 0.425779 -0.183981 0.00687044
15 0.891007 0.45399 -0.189159 0.0751514
16 0.876307 0.481754 -0.165306 0.14596
17 0.860742 0.509041 -0.109724 0.207884
18 0.844328 0.535827 -0.024668 0.248115
19 0.827081 0.562083 0.0819152 0.254364
20 0.809017 0.587785 0.196459 0.21719
21 0.790155 0.612907 0.30086 0.132395
22 0.770513 0.637424 0.374616 0.00306372
23 0.750111 0.661312 0.397893 -0.159205
24 0.728969 0.684547 0.355186 -0.334313
25 0.707107 0.707107 0.239056 -0.495228
26 0.684547 0.728969 0.0532853 -0.611159
27 0.661312 0.750111 -0.185271 -0.652162
28 0.637424 0.770513 -0.446761 -0.594642
29 0.612907 0.790155 -0.690774 -0.426945
30 0.587785 0.809017 -0.871202 -0.154028
31 0.562083 0.827081 -0.943177 0.19986
32 0.535827 0.844328 -0.871234 0.591391
33 0.509041 0.860742 -0.637483 0.961858
34 0.481754 0.876307 -0.248265 1.24436
35 0.45399 0.891007 0.262201 1.3739
36 0.425779 0.904827 0.832438 1.29899
37 0.397148 0.917755 1.37926 0.993143
38 0.368125 0.929776 1.80818 0.463915
39 0.338738 0.940881 2.02751 -0.242431
40 0.309017 0.951057 1.96446 -1.0422
41 0.278991 0.960294 1.5804 -1.82226
42 0.24869 0.968583 0.882716 -2.45431
43 0.218143 0.975917 -0.0695073 -2.81381
44 0.187381 0.982287 -1.16773 -2.80092
45 0.156434 0.987688 -2.26473 -2.36011
46 0.125333 0.992115 -3.19314 -1.49482
47 0.0941083 0.995562 -3.78944 -0.274197
48 0.0627905 0.998027 -3.9199 1.17002
49 0.0314108 0.999507 -3.5044 2.65696
50 -1.27104e-15 1 -2.53404 3.97903
51 -0.0314108 0.999507 -1.07907 4.93036
52 -0.0627905 0.998027 0.714486 5.33714
53 -0.0941083 0.995562 2.64004 5.08518
54 -0.125333 0.992115 4.45532 4.14028
55 -0.156434 0.987688 5.91379 2.55795
56 -0.187381 0.982287 6.79788 0.480762
57 -0.218143 0.975917 6.94929 -1.87653
58 -0.24869 0.968583 6.29187 -4.25219
59 -0.278991 0.960294 4.8437 -6.36936
60 -0.309017 0.951057 2.71688 -7.97
61 -0.338738 0.940881 0.10524 -8.84641
62 -0.368125 0.929776 -2.73818 -8.86584
63 -0.397148 0.917755 -5.53038 -7.98546
64 -0.425779 0.904827 -7.99038 -6.25597
65 -0.45399 0.891007 -9.86965 -3.81409
66 -0.481754 0.876307 -10.9773 -0.865545
67 -0.509041 0.860742 -11.1976 2.33866
68 -0.535827 0.844328 -10.4975 5.52935
69 -0.562083 0.827081 -8.92554 8.44615
70 -0.587785 0.809017 -6.60178 10.8612
71 -0.612907 0.790155 -3.70175 12.5976
72 -0.637424 0.770513 -0.436364 13.5404
73 -0.661312 0.750111 2.96926 13.641
74 -0.684547 0.728969 6.29584 12.9147
75 -0.707107 0.707107 9.34692 11.4321
76 -0.728969 0.684547 11.9616 9.30747
77 -0.750111 0.661312 14.0221 6.68477
78 -0.770513 0.637424 15.4571 3.72286
79 -0.790155 0.612907 16.2402 0.58221
80 -0.809017 0.587785 16.3852 -2.58656
81 -0.827081 0.562083 15.9392 -5.65134
82 -0.844328 0.535827 14.9743 -8.50431
83 -0.860742 0.509041 13.5787 -11.0648
84 -0.876307 0.481754 11.8489 -13.2799
85 -0.891007 0.45399 9.88258 -15.1224
86 -0.904827 0.425779 7.77251 -16.5882
87 -0.917755 0.397148 5.60279 -17.6921
88 -0.929776 0.368125 3.44596 -18.4636
89 -0.940881 0.338738 1.36174 -18.9422
90 -0.951057 0.309017 -0.603134 -19.1741
91 -0.960294 0.278991 -2.41421 -19.208
92 -0.968583 0.24869 -4.04798 -19.0929
93 -0.975917 0.218143 -5.49013 -18.8753
94 -0.982287 0.187381 -6.73365 -18.5979
95 -0.987688 0.156434 -7.77692 -18.2988
96 -0.992115 0.125333 -8.62186 -18.01
97 -0.995562 0.0941083 -9.27236 -17.7583
98 -0.998027 0.0627905 -9.73289 -17.5639
99 -0.999507 0.0314108 -10.0074 -17.4415
100 -1 4.56336e-15 -10.0986 -17.3997
101 -0.999507 -0.0314108 -10.0074 -17.4415
102 -0.998027 -0.0627905 -9.73289 -17.5639
103 -0.995562 -0.0941083 -9.27236 -17.7583
104 -0.992115 -0.125333 -8.62186 -18.01
105 -0.987688 -0.156434 -7.77692 -18.2988
106 -0.982287 -0.187381 -6.73365 -18.5979
107 -0.975917 -0.218143 -5.49013 -18.8753
108 -0.968583 -0.24869 -4.04798 -19.0929
109 -0.960294 -0.278991 -2.41421 -19.208
110 -0.951057 -0.309017 -0.603134 -19.1741
111 -0.940881 -0.338738 1.36174 -18.9422
112 -0.929776 -0.368125 3.44596 -18.4636
113 -0.917755 -0.397148 5.60279 -17.6921
114 -0.904827 -0.425779 7.77251 -16.5882
115 -0.891007 -0.45399 9.88258 -15.1224
116 -0.876307 -0.481754 11.8489 -13.2799
117 -0.860742 -0.509041 13.5787 -11.0648
118 -0.844328 -0.535827 14.9743 -8.50431
119 -0.827081 -0.562083 15.9392 -5.65134
120 -0.809017 -0.587785 16.3852 -2.58656
121 -0.790155 -0.612907 16.2402 0.58221
122 -0.770513 -0.637424 15.4571 3.72286
123 -0.750111 -0.661312 14.0221 6.68477
124 -0.728969 -0.684547 11.9616 9.30747
125 -0.707107 -0.707107 9.34692 11.4321
126 -0.684547 -0.728969 6.29584 12.9147
127 -0.661312 -0.750111 2.96926 13.641
128 -0.637424 -0.770513 -0.436364 13.5404
129 -0.612907 -0.790155 -3.70175 12.5976
130 -0.587785 -0.809017 -6.60178 10.8612
131 -0.562083 -0.827081 -8.92554 8.44615
132 -0.535827 -0.844328 -10.4975 5.52935
133 -0.509041 -0.860742 -11.1976 2.33866
134 -0.481754 -0.876307 -10.9773 -0.865545
135 -0.45399 -0.891007 -9.86965 -3.81409
136 -0.425779 -0.904827 -7.99038 -6.25597
137 -0.397148 -0.917755 -5.53038 -7.98546
138 -0.368125 -0.929776 -2.73818 -8.86584
139 -0.338738 -0.940881 0.10524 -8.84641
140 -0.309017 -0.951057 2.71688 -7.97
141 -0.278991 -0.960294 4.8437 -6.36936
142 -0.24869 -0.968583 6.29187 -4.25219
