# i, x, y, real(q), imag(q)
0 11.2403 -11.3497 0.578915 0.00116319
1 11.2235 -11.3765 0.69054 0.131791
2 11.2139 -11.4084 0.795292 0.216713
3 11.2114 -11.4445 0.880328 0.264542
4 11.2154 -11.4834 0.94605 0.297503
5 11.2247 -11.5237 0.995771 0.335452
6 11.238 -11.5643 1.03254 0.39243
7 11.2535 -11.6037 1.06007 0.47752
8 11.2694 -11.6411 1.08476 0.596401
9 11.2836 -11.6756 1.11726 0.752785
10 11.2944 -11.7068 1.17133 0.946347
11 11.3003 -11.7347 1.25292 1.15862
12 11.3 -11.7595 1.32311 1.30667
13 11.2928 -11.7816 1.28769 1.25385
14 11.2784 -11.8017 1.14935 1.02425
15 11.2573 -11.8208 1.00265 0.773221
16 11.2301 -11.8397 0.884274 0.571518
17 11.1982 -11.8592 0.791189 0.424405
18 11.1634 -11.88 0.71688 0.322445
19 11.1277 -11.9027 0.659427 0.254308
20 11.093 -11.9276 0.620391 0.207824
21 11.0616 -11.9547 0.601761 0.16883
22 11.0355 -11.9838 0.602288 0.120663
23 11.0162 -12.0144 0.616114 0.044708
24 11.0052 -12.0458 0.62713 -0.0738924
25 11.003 -12.0774 0.620806 -0.228562
26 11.01 -12.1082 0.595222 -0.38401
27 11.0258 -12.1376 0.571836 -0.502261
28 11.0495 -12.1648 0.571664 -0.570153
29 11.0799 -12.1895 0.601265 -0.590775
30 11.115 -12.2114 0.656216 -0.570099
31 11.1531 -12.2307 0.727441 -0.513826
32 11.192 -12.2476 0.80518 -0.428392
33 11.2296 -12.2628 0.88157 -0.322059
34 11.264 -12.2772 0.951957 -0.205194
35 11.2938 -12.2916 1.01285 -0.0911404
36 11.3177 -12.3072 1.05194 0.000770811
37 11.335 -12.3249 1.0249 0.0382382
38 11.3455 -12.3456 0.883428 -0.00512512
39 11.3496 -12.37 0.690091 -0.0979718
40 11.3481 -12.3985 0.537023 -0.189832
41 11.3422 -12.431 0.436787 -0.264046
42 11.3335 -12.4673 0.371474 -0.321504
43 11.3236 -12.5067 0.32568 -0.367064
44 11.3144 -12.5481 0.291614 -0.406147
45 11.3075 -12.5901 0.267545 -0.443257
46 11.3045 -12.6315 0.255398 -0.480889
47 11.3065 -12.6705 0.257581 -0.515302
48 11.3145 -12.7058 0.275008 -0.537411
49 11.3289 -12.7359 0.297744 -0.52014
50 11.3497 -12.7597 0.311664 -0.448534
51 11.3765 -12.7765 0.301987 -0.32893
52 11.4084 -12.7861 0.272385 -0.202519
53 11.4445 -12.7886 0.236528 -0.103483
54 11.4834 -12.7846 0.205154 -0.0439659
55 11.5237 -12.7753 0.182653 -0.0220674
56 11.5643 -12.762 0.168729 -0.0309817
57 11.6037 -12.7465 0.16029 -0.0637548
58 11.6411 -12.7306 0.153311 -0.116432
59 11.6756 -12.7164 0.144829 -0.190689
60 11.7068 -12.7056 0.134941 -0.295386
61 11.7347 -12.6997 0.129202 -0.44287
62 11.7595 -12.7 0.138999 -0.622464
63 11.7816 -12.7072 0.173062 -0.757529
64 11.8017 -12.7216 0.224946 -0.793086
65 11.8208 -12.7427 0.283636 -0.770077
66 11.8397 -12.7699 0.34111 -0.727033
67 11.8592 -12.8018 0.39091 -0.674082
68 11.88 -12.8366 0.427379 -0.611741
69 11.9027 -12.8723 0.445853 -0.540094
70 11.9276 -12.907 0.4426 -0.462173
71 11.9547 -12.9384 0.415449 -0.384571
72 11.9838 -12.9645 0.362557 -0.318548
73 12.0144 -12.9838 0.288118 -0.27862
74 12.0458 -12.9948 0.201065 -0.282331
75 12.0774 -12.997 0.126785 -0.33809
76 12.1082 -12.99 0.0932511 -0.433023
77 12.1376 -12.9742 0.108809 -0.540217
78 12.1648 -12.9505 0.157924 -0.640467
79 12.1895 -12.9201 0.219052 -0.725714
80 12.2114 -12.885 0.274412 -0.792166
81 12.2307 -12.8469 0.31141 -0.836112
82 12.2476 -12.808 0.321832 -0.852394
83 12.2628 -12.7704 0.30066 -0.833147
84 12.2772 -12.736 0.244325 -0.765021
