# i, x, y, real(u), imag(u)
0 1 0 0.346386 0.42168
1 0.998027 0.0627905 0.341809 0.397513
2 0.992115 0.125333 0.327361 0.327125
3 0.982287 0.187381 0.301052 0.216734
4 0.968583 0.24869 0.26007 0.0762611
5 0.951057 0.309017 0.201474 -0.0813092
6 0.929776 0.368125 0.123043 -0.240828
7 0.904827 0.425779 0.0241648 -0.386094
8 0.876307 0.481754 -0.0933633 -0.501153
9 0.844328 0.535827 -0.224757 -0.571708
10 0.809017 0.587785 -0.362017 -0.586565
11 0.770513 0.637424 -0.494152 -0.538975
12 0.728969 0.684547 -0.607894 -0.427744
13 0.684547 0.728969 -0.688908 -0.257948
14 0.637424 0.770513 -0.723402 -0.0411101
15 0.587785 0.809017 -0.699971 0.205295
16 0.535827 0.844328 -0.611466 0.459036
17 0.481754 0.876307 -0.456579 0.695017
18 0.425779 0.904827 -0.240907 0.887713
19 0.368125 0.929776 0.0227788 1.01392
20 0.309017 0.951057 0.315173 1.0555
21 0.24869 0.968583 0.612011 1.00172
22 0.187381 0.982287 0.886448 0.850887
23 0.125333 0.992115 1.11194 0.610935
24 0.0627905 0.998027 1.26524 0.298894
25 -6.04901e-16 1 1.32914 -0.0607957
26 -0.0627905 0.998027 1.29442 -0.438883
27 -0.125333 0.992115 1.16091 -0.804463
28 -0.187381 0.982287 0.937274 -1.12826
29 -0.24869 0.968583 0.63989 -1.3856
30 -0.309017 0.951057 0.29072 -1.55863
31 -0.368125 0.929776 -0.0852717 -1.63763
32 -0.425779 0.904827 -0.462844 -1.62121
33 -0.481754 0.876307 -0.81896 -1.51562
34 -0.535827 0.844328 -1.13473 -1.33326
35 -0.587785 0.809017 -1.39665 -1.09067
36 -0.637424 0.770513 -1.59705 -0.806515
37 -0.684547 0.728969 -1.73388 -0.499534
38 -0.728969 0.684547 -1.80995 -0.186972
39 -0.770513 0.637424 -1.83184 0.116591
40 -0.809017 0.587785 -1.80868 0.39989
41 -0.844328 0.535827 -1.7509 0.655154
42 -0.876307 0.481754 -1.66926 0.877906
43 -0.904827 0.425779 -1.57398 1.0665
44 -0.929776 0.368125 -1.47426 1.2215
45 -0.951057 0.309017 -1.3779 1.34498
46 -0.968583 0.24869 -1.29125 1.4399
47 -0.982287 0.187381 -1.21921 1.50948
48 -0.992115 0.125333 -1.16537 1.55671
49 -0.998027 0.0627905 -1.13215 1.58402
50 -1 -2.54207e-15 -1.12093 1.59294
51 -0.998027 -0.0627905 -1.13215 1.58402
52 -0.992115 -0.125333 -1.16537 1.55671
53 -0.982287 -0.187381 -1.21921 1.50948
54 -0.968583 -0.24869 -1.29125 1.4399
55 -0.951057 -0.309017 -1.3779 1.34498
56 -0.929776 -0.368125 -1.47426 1.2215
57 -0.904827 -0.425779 -1.57398 1.0665
58 -0.876307 -0.481754 -1.66926 0.877906
59 -0.844328 -0.535827 -1.7509 0.655154
60 -0.809017 -0.587785 -1.80868 0.39989
61 -0.770513 -0.637424 -1.83184 0.116591
62 -0.728969 -0.684547 -1.80995 -0.186972
63 -0.684547 -0.728969 -1.73388 -0.499534
64 -0.637424 -0.770513 -1.59705 -0.806515
65 -0.587785 -0.809017 -1.39665 -1.09067
66 -0.535827 -0.844328 -1.13473 -1.33326
67 -0.481754 -0.876307 -0.81896 -1.51562
68 -0.425779 -0.904827 -0.462844 -1.62121
69 -0.368125 -0.929776 -0.0852717 -1.63763
70 -0.309017 -0.951057 0.29072 -1.55863
71 -0.24869 -0.968583 0.63989 -1.3856
72 -0.187381 -0.982287 0.937274 -1.12826
73 -0.125333 -0.992115 1.16091 -0.804463
74 -0.0627905 -0.998027 1.29442 -0.438883
75 -1.83697e-16 -1 1.32914 -0.0607957
76 0.0627905 -0.998027 1.26524 0.298894
77 0.125333 -0.992115 1.11194 0.610935
78 0.187381 -0.982287 0.886448 0.850887
79 0.24869 -0.968583 0.612011 1.00172
80 0.309017 -0.951057 0.315173 1.0555
81 0.368125 -0.929776 0.0227788 1.01392
82 0.425779 -0.904827 -0.240907 0.887713
83 0.481754 -0.876307 -0.456579 0.695017
84 0.535827 -0.844328 -0.611466 0.459036
85 0.587785 -0.809017 -0.699971 0.205295
86 0.637424 -0.770513 -0.723402 -0.0411101
87 0.684547 -0.728969 -0.688908 -0.257948
88 0.728969 -0.684547 -0.607894 -0.427744
89 0.770513 -0.637424 -0.494152 -0.538975
90 0.809017 -0.587785 -0.362017 -0.586565
91 0.844328 -0.535827 -0.224757 -0.571708
92 0.876307 -0.481754 -0.0933633 -0.501153
93 0.904827 -0.425779 0.0241648 -0.386094
94 0.929776 -0.368125 0.123043 -0.240828
95 0.951057 -0.309017 0.201474 -0.0813092
96 0.968583 -0.24869 0.26007 0.0762611
97 0.982287 -0.187381 0.301052 0.216734
98 0.992115 -0.125333 0.327361 0.327125
99 0.998027 -0.0627905 0.341809 0.397513
