# i, x, y, real(u), imag(u)
0 11.2403 -11.3497 0.00975449 -0.617283
1 11.2235 -11.3765 -0.108458 -0.555437
2 11.2139 -11.4084 -0.228981 -0.506723
3 11.2114 -11.4445 -0.349308 -0.471616
4 11.2154 -11.4834 -0.465429 -0.448973
5 11.2247 -11.5237 -0.57235 -0.436411
6 11.238 -11.5643 -0.665167 -0.430895
7 11.2535 -11.6037 -0.740324 -0.429411
8 11.2694 -11.6411 -0.796557 -0.429542
9 11.2836 -11.6756 -0.835149 -0.429785
10 11.2944 -11.7068 -0.859405 -0.429521
11 11.3003 -11.7347 -0.873616 -0.428722
12 11.3 -11.7595 -0.881931 -0.427533
13 11.2928 -11.7816 -0.887533 -0.425872
14 11.2784 -11.8017 -0.892291 -0.423163
15 11.2573 -11.8208 -0.896876 -0.418295
16 11.2301 -11.8397 -0.901132 -0.409881
17 11.1982 -11.8592 -0.904504 -0.396783
18 11.1634 -11.88 -0.906386 -0.378768
19 11.1277 -11.9027 -0.906413 -0.357023
20 11.093 -11.9276 -0.904728 -0.334263
21 11.0616 -11.9547 -0.902186 -0.314297
22 11.0355 -11.9838 -0.900385 -0.301232
23 11.0162 -12.0144 -0.901437 -0.298628
24 11.0052 -12.0458 -0.907525 -0.308903
25 11.003 -12.0774 -0.920339 -0.333061
26 11.01 -12.1082 -0.940547 -0.370678
27 11.0258 -12.1376 -0.967437 -0.419973
28 11.0495 -12.1648 -0.998894 -0.477862
29 11.0799 -12.1895 -1.03178 -0.540134
30 11.115 -12.2114 -1.06268 -0.601883
31 11.1531 -12.2307 -1.08869 -0.658259
32 11.192 -12.2476 -1.1081 -0.705416
33 11.2296 -12.2628 -1.12055 -0.741301
34 11.264 -12.2772 -1.12687 -0.765952
35 11.2938 -12.2916 -1.12862 -0.781164
36 11.3177 -12.3072 -1.12748 -0.789674
37 11.335 -12.3249 -1.12468 -0.794224
38 11.3455 -12.3456 -1.12033 -0.796814
39 11.3496 -12.37 -1.113 -0.798332
40 11.3481 -12.3985 -1.09958 -0.798611
41 11.3422 -12.431 -1.07576 -0.796818
42 11.3335 -12.4673 -1.03694 -0.792013
43 11.3236 -12.5067 -0.979384 -0.783736
44 11.3144 -12.5481 -0.901358 -0.772501
45 11.3075 -12.5901 -0.803651 -0.760039
46 11.3045 -12.6315 -0.689413 -0.749202
47 11.3065 -12.6705 -0.563314 -0.74346
