# i, x, y, real(u), imag(u)
0 11.2403 -11.3497 0.521009 -0.561351
1 11.2235 -11.3765 0.491616 -0.630307
2 11.2139 -11.4084 0.470166 -0.689838
3 11.2114 -11.4445 0.459474 -0.73831
4 11.2154 -11.4834 0.460553 -0.773895
5 11.2247 -11.5237 0.472436 -0.795116
6 11.238 -11.5643 0.492475 -0.801591
7 11.2535 -11.6037 0.517027 -0.794648
8 11.2694 -11.6411 0.542292 -0.77749
9 11.2836 -11.6756 0.564977 -0.754813
10 11.2944 -11.7068 0.582589 -0.732004
11 11.3003 -11.7347 0.59333 -0.714138
12 11.3 -11.7595 0.595724 -0.70502
13 11.2928 -11.7816 0.588118 -0.706475
14 11.2784 -11.8017 0.568615 -0.717799
15 11.2573 -11.8208 0.535244 -0.735731
16 11.2301 -11.8397 0.486424 -0.755058
17 11.1982 -11.8592 0.421971 -0.769538
18 11.1634 -11.88 0.343986 -0.773186
19 11.1277 -11.9027 0.257198 -0.761569
20 11.093 -11.9276 0.168475 -0.732727
21 11.0616 -11.9547 0.0855547 -0.687414
22 11.0355 -11.9838 0.0154287 -0.628592
23 11.0162 -12.0144 -0.0369817 -0.56041
24 11.0052 -12.0458 -0.0694908 -0.487105
25 11.003 -12.0774 -0.0824097 -0.412235
26 11.01 -12.1082 -0.0779284 -0.338441
27 11.0258 -12.1376 -0.0592083 -0.267601
28 11.0495 -12.1648 -0.0297442 -0.201142
29 11.0799 -12.1895 0.00696998 -0.140254
30 11.115 -12.2114 0.0475173 -0.0859401
31 11.1531 -12.2307 0.0885596 -0.0389611
32 11.192 -12.2476 0.126945 0.000245127
33 11.2296 -12.2628 0.159965 0.0315982
34 11.264 -12.2772 0.18565 0.0553744
35 11.2938 -12.2916 0.202921 0.0721913
36 11.3177 -12.3072 0.2115 0.08301
37 11.335 -12.3249 0.211613 0.089147
38 11.3455 -12.3456 0.203637 0.0923129
39 11.3496 -12.37 0.188066 0.0946694
40 11.3481 -12.3985 0.165503 0.0986747
41 11.3422 -12.431 0.136752 0.106651
42 11.3335 -12.4673 0.103057 0.120167
43 11.3236 -12.5067 0.066134 0.139342
44 11.3144 -12.5481 0.0280407 0.162424
45 11.3075 -12.5901 -0.00906078 0.185858
46 11.3045 -12.6315 -0.0431005 0.204886
47 11.3065 -12.6705 -0.0721695 0.21445
48 11.3145 -12.7058 -0.0944476 0.210036
49 11.3289 -12.7359 -0.10817 0.188448
50 11.3497 -12.7597 -0.111553 0.147955
51 11.3765 -12.7765 -0.103187 0.0887282
52 11.4084 -12.7861 -0.0824654 0.0127616
53 11.4445 -12.7886 -0.0501132 -0.0761554
54 11.4834 -12.7846 -0.00849999 -0.172751
55 11.5237 -12.7753 0.0384976 -0.270885
56 11.5643 -12.762 0.0861519 -0.364433
57 11.6037 -12.7465 0.12991 -0.448263
58 11.6411 -12.7306 0.166431 -0.519002
59 11.6756 -12.7164 0.194238 -0.575355
60 11.7068 -12.7056 0.213758 -0.617895
61 11.7347 -12.6997 0.226812 -0.648438
62 11.7595 -12.7 0.235829 -0.669259
63 11.7816 -12.7072 0.243134 -0.682358
64 11.8017 -12.7216 0.25052 -0.689166
65 11.8208 -12.7427 0.259166 -0.690567
66 11.8397 -12.7699 0.269766 -0.686943
67 11.8592 -12.8018 0.282745 -0.678444
68 11.88 -12.8366 0.298431 -0.665212
69 11.9027 -12.8723 0.317103 -0.647455
70 11.9276 -12.907 0.338904 -0.625438
71 11.9547 -12.9384 0.363624 -0.599405
72 11.9838 -12.9645 0.390423 -0.569537
73 12.0144 -12.9838 0.417731 -0.53589
74 12.0458 -12.9948 0.443008 -0.49863
75 12.0774 -12.997 0.463399 -0.457935
76 12.1082 -12.99 0.475954 -0.414111
77 12.1376 -12.9742 0.478278 -0.367548
78 12.1648 -12.9505 0.469065 -0.318677
79 12.1895 -12.9201 0.44848 -0.267941
80 12.2114 -12.885 0.418201 -0.215848
81 12.2307 -12.8469 0.381144 -0.163088
82 12.2476 -12.808 0.340872 -0.11063
83 12.2628 -12.7704 0.300898 -0.0596806
84 12.2772 -12.736 0.264045 -0.011477
85 12.2916 -12.7062 0.232069 0.033028
86 12.3072 -12.6823 0.205536 0.0734246
87 12.3249 -12.665 0.183867 0.109971
88 12.3456 -12.6545 0.165474 0.143378
89 12.37 -12.6504 0.147926 0.174457
90 12.3985 -12.6519 0.12813 0.203976
91 12.431 -12.6578 0.102794 0.232292
92 12.4673 -12.6665 0.0690056 0.259193
93 12.5067 -12.6764 0.0248031 0.284033
94 12.5481 -12.6856 -0.0304191 0.306005
95 12.5901 -12.6925 -0.0957803 0.324528
96 12.6315 -12.6955 -0.16906 0.339624
97 12.6705 -12.6935 -0.247044 0.352173
98 12.7058 -12.6855 -0.325946 0.363962
99 12.7359 -12.6711 -0.401795 0.377538
100 12.7597 -12.6503 -0.470716 0.395708
101 12.7765 -12.6235 -0.529063 0.420927
102 12.7861 -12.5916 -0.573506 0.454554
103 12.7886 -12.5555 -0.601237 0.496261
104 12.7846 -12.5166 -0.610369 0.54379
105 12.7753 -12.4763 -0.600456 0.593223
106 12.762 -12.4357 -0.572913 0.639802
107 12.7465 -12.3963 -0.531092 0.679061
108 12.7306 -12.3589 -0.479886 0.707889
109 12.7164 -12.3244 -0.424937 0.725114
110 12.7056 -12.2932 -0.371716 0.731422
111 12.6997 -12.2653 -0.324751 0.728703
112 12.7 -12.2405 -0.287138 0.719145
113 12.7072 -12.2184 -0.260516 0.704449
114 12.7216 -12.1983 -0.245117 0.685556
115 12.7427 -12.1792 -0.239713 0.66254
116 12.7699 -12.1603 -0.241925 0.634878
117 12.8018 -12.1408 -0.248328 0.602045
118 12.8366 -12.12 -0.254627 0.564065
119 12.8723 -12.0973 -0.25608 0.521937
120 12.907 -12.0724 -0.248155 0.477735
121 12.9384 -12.0453 -0.227246 0.434293
122 12.9645 -12.0162 -0.191131 0.394514
123 12.9838 -11.9856 -0.139001 0.36056
124 12.9948 -11.9542 -0.0711171 0.333201
125 12.997 -11.9226 0.0115958 0.311527
126 12.99 -11.8918 0.10781 0.29308
127 12.9742 -11.8624 0.215705 0.274314
128 12.9505 -11.8352 0.332624 0.251302
129 12.9201 -11.8105 0.454781 0.220559
130 12.885 -11.7886 0.577226 0.179845
131 12.8469 -11.7693 0.694241 0.12879
132 12.808 -11.7524 0.800117 0.069156
133 12.7704 -11.7372 0.890063 0.00464646
134 12.736 -11.7228 0.960895 -0.0597189
135 12.7062 -11.7084 1.01127 -0.118484
136 12.6823 -11.6928 1.04134 -0.166675
137 12.665 -11.6751 1.05223 -0.200487
138 12.6545 -11.6544 1.04503 -0.217569
139 12.6504 -11.63 1.02084 -0.21724
140 12.6519 -11.6015 0.980636 -0.200565
141 12.6578 -11.569 0.925304 -0.169869
142 12.6665 -11.5327 0.85611 -0.128568
143 12.6764 -11.4933 0.775007 -0.0809143
144 12.6856 -11.4519 0.684694 -0.0315621
145 12.6925 -11.4099 0.588436 0.0150032
146 12.6955 -11.3685 0.48969 0.0550935
147 12.6935 -11.3295 0.391647 0.0863019
148 12.6855 -11.2942 0.296865 0.107678
149 12.6711 -11.2641 0.207104 0.119547
150 12.6503 -11.2403 0.123397 0.123062
151 12.6235 -11.2235 0.046261 0.119661
152 12.5916 -11.2139 -0.0240677 0.110615
153 12.5555 -11.2114 -0.0875291 0.0968375
154 12.5166 -11.2154 -0.144308 0.0789809
155 12.4763 -11.2247 -0.194958 0.0577693
