# num, x, y, Re(cal), Re(ana), Im(cal), Im(ana)
0 1.0000000000000000e+00 0.0000000000000000e+00 -8.7959341139953670e-02 4.3311935181928668e-01 -1.9617881936522019e+00 -4.4789950796628247e-01
1 9.9541073385818124e-01 3.1282042544634604e-02 2.0879462252270789e-01 4.2889839042990735e-01 -2.1829052848053427e+00 -4.4700181041550552e-01
2 9.8192465371815163e-01 6.1777462856832770e-02 4.8691573224822904e-01 4.1629206474348229e-01 -2.4039123805122098e+00 -4.4428471547688586e-01
3 9.6036693950480934e-01 9.0781403927674392e-02 7.3840243276280315e-01 3.9546962124026380e-01 -2.6134409875669031e+00 -4.3967701938449766e-01
4 9.3204778035913916e-01 1.1774501677484481e-01 9.5700608645941010e-01 3.6671170237905609e-01 -2.8001567024653782e+00 -4.3306271288155385e-01
5 8.9866975039445340e-01 1.4233530545281620e-01 1.1387175968913823e+00 3.3040817641817771e-01 -2.9551496870030496e+00 -4.2428493022610198e-01
6 8.6220782586846090e-01 1.6447493921709835e-01 1.2822093355716448e+00 2.8705506480989718e-01 -3.0738164880742040e+00 -4.1315138472929236e-01
7 8.2477084962782488e-01 1.8435812721340111e-01 1.3889947858754483e+00 2.3725053509275496e-01 -3.1564773117345193e+00 -3.9944119774041431e-01
8 7.8845457678569575e-01 2.0244072745077163e-01 1.4631576482896187e+00 1.8168992128737058e-01 -3.2075788541438293e+00 -3.8291300146281210e-01
9 7.5519700070325435e-01 2.1940501082768740e-01 1.5106663982182098e+00 1.2115973029370411e-01 -3.2340254071617109e+00 -3.6331416965726998e-01
10 7.2664642056615791e-01 2.3610173423908473e-01 1.5384110008718137e+00 5.6530592192529934e-02 -3.2433977095735318e+00 -3.4039100437479552e-01
11 7.0405169278653146e-01 2.5347420632771922e-01 1.5531233875999013e+00 -1.1250884860258784e-02 -3.2424192322795511e+00 -3.1389968166127580e-01
12 6.8818238939157772e-01 2.7247068312146538e-01 1.5603353604852548e+00 -8.1171387870837858e-02 -3.2355493877097725e+00 -2.8361773509601373e-01
13 6.7928430194166500e-01 2.9395256652222662e-01 1.5635526372066473e+00 -1.5216132235984853e-01 -3.2235963534457532e+00 -2.4935583357548646e-01
14 6.7707305642543270e-01 3.1860639612501590e-01 1.5638304746170821e+00 -2.2310639265816892e-01 -3.2026426044189669e+00 -2.1096958955063766e-01
15 6.8076574883762309e-01 3.4686747417690128e-01 1.5598359338999523e+00 -2.9286032625871095e-01 -3.1638246779551955e+00 -1.6837111668976990e-01
16 6.8914769131157871e-01 3.7886214934644746e-01 1.5483043895910040e+00 -3.6025870506023006e-01 -3.0943363821860821e+00 -1.2154004247704971e-01
17 7.0066878907151320e-01 4.1437436673395667e-01 1.5246980322310917e+00 -4.2413383767138180e-01 -2.9795905544959678e+00 -7.0533672443720496e-02
18 7.1356194261627337e-01 4.5284017877737714e-01 1.4839685532308522e+00 -4.8333057425162174e-01 -2.8060552438906909e+00 -1.5495999478843992e-02
19 7.2597434531935412e-01 4.9337165560804308e-01 1.4215064582641490e+00 -5.3672292923643250e-01 -2.5640324767227849e+00 4.3334745106600403e-02
20 7.3610173423908465e-01 5.3480921486319488e-01 1.3343491892775434e+00 -5.8323133854941756e-01 -2.2496151466167063e+00 1.0562029151381808e-01
21 7.4231560569423372e-01 5.7579900606940071e-01 1.2224374022116085e+00 -6.2184033760702861e-01 -1.8652853073668814e+00 1.7091855644417556e-01
22 7.4327412167411511e-01 6.1488982902832778e-01 1.0894359904875173e+00 -6.5161640587605674e-01 -1.4191200152952275e+00 2.3868213976056232e-01
23 7.3800884416892398e-01 6.5064231834779085e-01 9.4268133820947597e-01 -6.7172568447411363e-01 -9.2315854935578745e-01 3.0825930286164382e-01
24 7.2598142438967495e-01 6.8174193556432039e-01 7.9215681413650774e-01 -6.8145123702386967e-01 -3.9179339108834482e-01 3.7889759295761682e-01
25 7.0710678118654757e-01 7.0710678118654746e-01 6.4877172199174216e-01 -6.8020949253942287e-01 1.5915620998676863e-01 4.4975022252118113e-01
26 6.8174193556432039e-01 7.2598142438967495e-01 5.2241640752518803e-01 -6.6756548447250141e-01 7.1262856023533849e-01 5.1988524979888351e-01
27 6.5064231834779085e-01 7.3800884416892387e-01 4.2026507639807037e-01 -6.4324648411028218e-01 1.2503147949193032e+00 5.8829753541737784e-01
28 6.1488982902832801e-01 7.4327412167411522e-01 3.4568726285060397e-01 -6.0715362113448945e-01 1.7532535205563717e+00 6.5392337326017658e-01
29 5.7579900606940049e-01 7.4231560569423372e-01 2.9798550161722254e-01 -5.5937109096534032e-01 2.2035039712410835e+00 7.1565761281946272e-01
30 5.3480921486319510e-01 7.3610173423908476e-01 2.7301078071427015e-01 -5.0017256886166384e-01 2.5866802465708112e+00 7.7237300745973969e-01
31 4.9337165560804330e-01 7.2597434531935423e-01 2.6449972905127483e-01 -4.3002448555613354e-01 2.8944649260833990e+00 8.2294144114962475e-01
32 4.5284017877737703e-01 7.1356194261627337e-01 2.6575302943200230e-01 -3.4958586888594601e-01 3.1260380258928855e+00 8.6625660820019212e-01
33 4.1437436673395656e-01 7.0066878907151320e-01 2.7113383187227358e-01 -2.5970452025014767e-01 3.2878134447600047e+00 9.0125764955542120e-01
34 3.7886214934644730e-01 6.8914769131157871e-01 2.7692963243863983e-01 -1.6140937293835667e-01 3.3916484680897048e+00 9.2695318843296248e-01
