# num, x, y, Re(cal), Re(ana), Im(cal), Im(ana)
0 1.0000000000000000e+00 0.0000000000000000e+00 2.7818084379195813e+00 6.9671667613754851e-01 -3.2229857793286121e-01 1.7000622270716303e+00
1 9.9541073385818124e-01 3.1282042544634604e-02 2.9267977348601999e+00 6.9037035469116648e-01 -2.4331467578304103e-01 1.6940511356808743e+00
2 9.8192465371815163e-01 6.1777462856832770e-02 3.0639639235306677e+00 6.7141583945047623e-01 -1.8744725868259624e-01 1.6761040509335097e+00
3 9.6036693950480934e-01 9.0781403927674392e-02 3.1815059794304275e+00 6.4010561341539518e-01 -1.5354214226441631e-01 1.6464781044571266e+00
4 9.3204778035913916e-01 1.1774501677484481e-01 3.2675239937875289e+00 5.9685760302204749e-01 -1.3899439696147742e-01 1.6055970815979266e+00
5 8.9866975039445340e-01 1.4233530545281620e-01 3.3121853036156947e+00 5.4225086892296948e-01 -1.3935217817720805e-01 1.5540443453221509e+00
6 8.6220782586846090e-01 1.6447493921709835e-01 3.3098574132946554e+00 4.7701959087796009e-01 -1.4836103201952841e-01 1.4925530790368220e+00
7 8.2477084962782488e-01 1.8435812721340111e-01 3.2605077215123597e+00 4.0204536582876560e-01 -1.5858861298491564e-01 1.4219939963997272e+00
8 7.8845457678569575e-01 2.0244072745077163e-01 3.1697657140958624e+00 3.1834784549571976e-01 -1.6245690440035410e-01 1.3433607066003883e+00
9 7.5519700070325435e-01 2.1940501082768740e-01 3.0474867509406782e+00 2.2707374844776315e-01 -1.5326424742667077e-01 1.2577529624948369e+00
10 7.2664642056615791e-01 2.3610173423908473e-01 2.9052205121840959e+00 1.2948429183664337e-01 -1.2580653272997511e-01 1.1663580559346991e+00
11 7.0405169278653146e-01 2.5347420632771922e-01 2.7533388442535882e+00 2.6941100106491814e-02 -7.6518813897313978e-02 1.0704306591604145e+00
12 6.8818238939157772e-01 2.7247068312146538e-01 2.5985919504058046e+00 -7.9109337788473594e-02 -3.4086847877758892e-03 9.7127144268758292e-01
13 6.7928430194166500e-01 2.9395256652222662e-01 2.4426684164218107e+00 -1.8715257463228607e-01 9.3848746177974215e-02 8.7020482810508115e-01
14 6.7707305642543270e-01 3.1860639612501590e-01 2.2820677770636344e+00 -2.9562436776834372e-01 2.1350157157183222e-01 7.6855625797000759e-01
15 6.8076574883762309e-01 3.4686747417690128e-01 2.1092706193240152e+00 -4.0292997034269556e-01 3.5119781150685481e-01 6.6762938382700676e-01
16 6.8914769131157871e-01 3.7886214934644746e-01 1.9148406743831408e+00 -5.0746439926436770e-01 4.9979140455496895e-01 5.6868358656401319e-01
17 7.0066878907151320e-01 4.1437436673395667e-01 1.6898527587479242e+00 -6.0763350254801318e-01 6.4989219073643223e-01 4.7291225009401811e-01
18 7.1356194261627337e-01 4.5284017877737714e-01 1.4280386886213114e+00 -7.0187562137034465e-01 7.9127271964426349e-01 3.8142220898509438e-01
19 7.2597434531935412e-01 4.9337165560804308e-01 1.1272317244548564e+00 -7.8868361366971618e-01 9.1483180855825885e-01 2.9521478245271210e-01
20 7.3610173423908465e-01 5.3480921486319488e-01 7.8989045356778553e-01 -8.6662697715997261e-01 1.0145142420772468e+00 2.1516879046310330e-01
21 7.4231560569423372e-01 5.7579900606940071e-01 4.2263301626413369e-01 -9.3437378110733993e-01 1.0885459237306256e+00 1.4202592208007833e-01
22 7.4327412167411511e-01 6.1488982902832778e-01 3.4915866672591778e-02 -9.9071208919974085e-01 1.1395764023817745e+00 7.6378791294188716e-02
23 7.3800884416892398e-01 6.5064231834779085e-01 -3.6272929496901629e-01 -1.0345705315471823e+00 1.1737108454737930e+00 1.8661971292405273e-02
24 7.2598142438967495e-01 6.8174193556432039e-01 -7.6031005252011385e-01 -1.0650376636462364e+00 1.1987781589274864e+00 -3.0853755388970703e-02
25 7.0710678118654757e-01 7.0710678118654746e-01 -1.1493505502529322e+00 -1.0813797354671140e+00 1.2223750513053262e+00 -7.2063755677559682e-02
26 6.8174193556432039e-01 7.2598142438967495e-01 -1.5230820608446669e+00 -1.0830564861597234e+00 1.2502131074184977e+00 -1.0502840886293538e-01
27 6.5064231834779085e-01 7.3800884416892387e-01 -1.8760597817247067e+00 -1.0697345806763630e+00 1.2851380046060479e+00 -1.2996844577868105e-01
28 6.1488982902832801e-01 7.4327412167411522e-01 -2.2036082209743464e+00 -1.0412983152167470e+00 1.3269721870223299e+00 -1.4725681881701885e-01
29 5.7579900606940049e-01 7.4231560569423372e-01 -2.5014575476672110e+00 -9.9785723996884246e-01 1.3731132902516365e+00 -1.5740724302984035e-01
30 5.3480921486319510e-01 7.3610173423908476e-01 -2.7657323146177193e+00 -9.3975038102079755e-01 1.4196293149197843e+00 -1.6105963537572174e-01
31 4.9337165560804330e-01 7.2597434531935423e-01 -2.9932134109151205e+00 -8.6754678906525728e-01 1.4624561294598242e+00 -1.5896276452955346e-01
32 4.5284017877737703e-01 7.1356194261627337e-01 -3.1816359153932079e+00 -7.8204220067425689e-01 1.4982761155787963e+00 -1.5195450480874320e-01
33 4.1437436673395656e-01 7.0066878907151320e-01 -3.3297919018278872e+00 -6.8425166804683191e-01 1.5247958575933633e+00 -1.4094016178823621e-01
34 3.7886214934644730e-01 6.8914769131157871e-01 -3.4373582799925289e+00 -5.7539809422087940e-01 1.5404277340129993e+00 -1.2686940116129347e-01
35 3.4686747417690139e-01 6.8076574883762309e-01 -3.5045225865228677e+00 -4.5689670121172460e-01 1.5436635532587710e+00 -1.1071236355257406e-01
36 3.1860639612501590e-01 6.7707305642543270e-01 -3.5315055102535440e+00 -3.3033555623141359e-01 1.5325170544201498e+00 -9.3435583754483797e-02
37 2.9395256652222657e-01 6.7928430194166500e-01 -3.5180380488540997e+00 -1.9745238335437870e-01 1.5042758504897280e+00 -7.5978351079057704e-02
38 2.7247068312146550e-01 6.8818238939157772e-01 -3.4628960313970980e+00 -6.0107991556986165e-02 1.4556101252896581e+00 -5.9230146565917061e-02
39 2.5347420632771928e-01 7.0405169278653146e-01 -3.3637048479212774e+00 7.9743248563375765e-02 1.3829937181943894e+00 -4.4009771681766750e-02
40 2.3610173423908473e-01 7.2664642056615791e-01 -3.2172261756273595e+00 2.2008535165376503e-01 1.2833867903558811e+00 -3.1046741656871806e-02
41 2.1940501082768751e-01 7.5519700070325402e-01 -3.0201621270604644e+00 3.5887447467078726e-01 1.1550935925631993e+00 -2.0965455314198592e-02
42 2.0244072745077157e-01 7.8845457678569575e-01 -2.7702974588539075e+00 4.9407379861706047e-01 9.9859986745681262e-01 -1.4272573590091368e-02
43 1.8435812721340122e-01 8.2477084962782465e-01 -2.4677001592394352e+00 6.2368879421126933e-01 8.1708885684537857e-01 -1.1347943189305848e-02
44 1.6447493921709846e-01 8.6220782586846079e-01 -2.1157008371834070e+00 7.4580209542459430e-01 6.1634766100223393e-01 -1.2439293007408406e-02
45 1.4233530545281622e-01 8.9866975039445318e-01 -1.7213614943054911e+00 8.5860719165830324e-01 4.0395723098544589e-01 -1.7660812810447606e-02
46 1.1774501677484499e-01 9.3204778035913893e-01 -1.2951505389441742e+00 9.6044015983962261e-01 1.8795118850780312e-01 -2.6995600436199085e-02
47 9.0781403927674365e-02 9.6036693950480934e-01 -8.4972623588950269e-01 1.0498086924476138e+00 -2.4621641553482256e-02 -4.0301840073871352e-02
48 6.1777462856832908e-02 9.8192465371815163e-01 -3.9810963486170520e-01 1.1254177360334230e+00 -2.2875005503600523e-01 -5.7322454733244509e-02
49 3.1282042544634708e-02 9.9541073385818124e-01 4.8142747286950734e-02 1.1861911357490069e+00 -4.2184199682488943e-01 -7.7697865492568630e-02
50 6.1232339957367660e-17 1.0000000000000000e+00 4.8013169421638513e-01 1.2312887823504737e+00 -6.0344717307866247e-01 -1.0098139287321534e-01
51 -3.1282042544634590e-02 9.9541073385818124e-01 8.9184327769523275e-01 1.2601188758147315e+00 -7.7454699990762199e-01 -1.2665675556160327e-01
52 -6.1777462856832790e-02 9.8192465371815163e-01 1.2795267622652544e+00 1.2723450500675153e+00 -9.3668515315671641e-01 -1.5415706180363173e-01
53 -9.0781403927674434e-02 9.6036693950480911e-01 1.6406857253507747e+00 1.2678882417609720e+00 -1.0911552153351538e+00 -1.8288465138004326e-01
54 -1.1774501677484472e-01 9.3204778035913927e-01 1.9732398974918997e+00 1.2469233275923242e+00 -1.2384041695411627e+00 -2.1223113239498520e-01
55 -1.4233530545281614e-01 8.9866975039445340e-01 2.2752244668755335e+00 1.2098706942256370e+00 -1.3777788285284258e+00 -2.4159696739324618e-01
56 -1.6447493921709835e-01 8.6220782586846090e-01 2.5450291127199116e+00 1.1573830374813485e+00 -1.5076829086201193e+00 -2.7040999673574939e-01
57 -1.8435812721340097e-01 8.2477084962782510e-01 2.7818640670136778e+00 1.0903278084516885e+00 -1.6260872993505753e+00 -2.9814234188499655e-01
58 -2.0244072745077166e-01 7.8845457678569564e-01 2.9860793699761152e+00 1.0097658294993019e+00 -1.7311967850730912e+00 -3.2432520456973701e-01
59 -2.1940501082768732e-01 7.5519700070325446e-01 3.1591520673630025e+00 9.1692668935213995e-01 -1.8220120275350042e+00 -3.4856116625975153e-01
60 -2.3610173423908454e-01 7.2664642056615814e-01 3.3033509992305290e+00 8.1318159124359557e-01 -1.8985500770644936e+00 -3.7053369198321201e-01
